ID,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport
10,False,True,False,False,False,False,False,False
20,False,True,False,False,False,False,False,False
30,False,True,False,False,False,False,False,False
40,False,True,False,False,False,False,False,False
50,True,True,False,False,False,False,False,False
60,False,True,False,False,False,False,False,False
70,True,True,False,False,False,False,False,False
80,True,True,False,False,False,False,False,False
130,True,False,False,False,False,False,False,False
220,True,False,False,False,False,True,False,False
240,False,True,False,False,False,True,False,False
280,True,False,False,False,False,False,False,False
300,False,True,False,False,False,True,False,False
320,False,True,False,False,False,True,False,False
340,True,False,False,False,False,False,False,False
360,False,True,False,False,False,False,False,False
380,True,False,False,False,False,True,False,False
400,True,False,False,False,False,True,True,False
420,True,False,False,False,False,True,False,False
440,False,True,False,False,True,False,True,False
500,True,True,True,False,False,True,False,False
550,True,True,True,False,False,True,False,False
570,False,True,True,False,True,False,False,False
620,True,False,True,False,False,False,True,False
630,True,True,True,False,False,False,True,False
730,False,True,False,False,True,False,False,False
1002,True,True,False,False,False,False,False,False
1200,False,True,False,False,False,False,False,False
1250,True,True,True,False,False,False,True,False
1300,True,False,False,False,False,False,False,False
1500,True,False,False,False,False,False,False,False
1510,True,False,False,False,False,False,False,False
1520,True,True,False,False,False,False,False,False
1530,True,True,False,False,False,False,False,False
1600,True,True,False,False,False,False,False,False
1610,True,True,False,False,False,False,False,False
1620,True,False,False,False,False,False,False,False
1630,True,True,True,False,False,False,False,False
1640,True,True,True,False,False,False,False,False
1670,True,True,False,False,False,False,False,False
1690,True,True,False,False,False,False,False,False
1700,True,False,False,False,False,False,False,False
1840,False,False,False,False,False,False,False,False
1900,True,True,False,False,False,False,False,False
1930,True,True,False,False,False,False,False,False
2100,True,True,False,False,False,False,False,False
2200,True,True,False,False,False,False,False,False
2210,True,True,False,False,False,False,False,False
2270,True,False,False,False,False,False,False,False
2280,True,False,False,False,False,False,False,False
2290,True,False,False,False,False,False,False,False
2300,True,True,False,False,False,False,False,False
2310,True,True,True,False,False,False,False,False
2320,True,True,True,False,False,False,False,False
2330,True,True,False,False,False,False,False,False
2340,True,True,False,False,False,False,False,False
2350,True,True,False,False,False,False,False,False
2360,True,False,False,False,False,False,False,False
2370,True,False,False,False,False,False,False,False
2390,True,True,False,False,False,False,False,False
2400,True,True,False,False,False,False,False,False
2420,True,False,False,False,False,False,False,False
2450,True,True,False,False,False,False,False,False
2500,True,True,False,False,False,False,False,False
2520,True,False,False,False,False,False,False,False
2540,True,True,True,False,False,False,False,False
2570,True,False,False,False,False,False,False,False
2590,True,False,False,False,False,False,False,False
2600,True,False,False,False,False,False,False,False
2610,True,False,False,False,False,False,False,False
2620,True,True,False,False,False,False,False,False
2630,True,True,False,False,False,False,False,False
2640,True,True,False,False,False,False,False,False
2700,True,False,False,False,False,False,False,False
2710,True,True,False,False,False,False,False,False
2720,True,True,False,False,False,False,True,False
2780,True,True,False,False,False,False,True,False
2800,True,False,False,False,False,False,False,False
2810,True,False,False,False,False,False,False,False
2820,True,False,False,False,False,False,False,False
2840,True,False,False,False,False,False,False,False
2850,True,False,False,False,False,False,False,False
2870,True,False,False,False,False,False,False,False
2900,True,True,False,False,False,False,False,False
2910,True,False,False,False,False,False,False,False
2920,True,True,True,False,False,False,True,False
2990,True,False,False,False,False,False,False,False
3000,True,True,False,False,False,False,False,False
3010,True,True,False,False,False,False,False,False
3020,True,True,False,False,False,False,False,False
3050,True,True,False,False,False,False,False,False
3130,True,False,False,False,False,False,False,False
3170,True,False,False,False,False,False,False,False
3200,True,True,False,False,False,False,False,False
3230,True,True,False,False,False,False,False,False
3260,True,False,False,False,False,False,False,False
3270,True,True,False,False,False,False,False,False
3300,True,False,False,False,False,False,False,False
